Name,Description,Campus,Research Categories,Citizenship Req,Preferred Major,School/Dept,Professor,More Info
CISTAR - Decarbonization of the High-Carbon Intensive and High-Volume Commodity Chemicals Production through Renewable Electrification,"This project is supported by CISTAR, an NSF Engineering Research Center headquartered at Purdue Electrification of industrial processes is being frequently mentioned as an option to reduce greenhouse gas emissions from energy-intensive industries. Electricity is a versatile energy carrier which presents a variety of electrification options. The increasing availability of cheap renewable electricity provides an opportunity to decarbonize energy intensive processes. As part of this decarbonization effort, the commodity chemical industry is an important target due to its large energy requirements and greenhouse gas emissions. One potential paradigm for electrification involves replacing the use of steam, generated by burning fossil fuels, as a source of heat in chemical processes to processes with direct electrical heating using renewable energy sources. This project aims to identify and quantify areas where energy is currently transferred by steam can be efficiently transferred by renewable electrification. The target commodity chemicals are ammonia, ethylene, propylene, and methanol. Students working on this project will also have the opportunity to participate in information sessions, tours and informal mentoring with CISTAR's partner companies. Purdue students are not eligible for this project. Students must be from outside institutions. Participants must be US Citizens. Students with disabilities, veterans, and those from traditionally underrepresented groups in STEM are encouraged to apply. More information: https://cistar.us/",N/A,"Chemical Unit Operations, Chemical Catalysis and Synthesis, Energy and Environment",N/A,N/A,Chemical Engineering,Cornelius Masuku,https://cistar.us/ewd/undergrad_overview/research-experience-for-undergraduates-reu-program
CISTAR - High temperature catalysts for conversion of ethylene and propylene to gasoline and diesel fuel,"This project is supported by CISTAR, an NSF Engineering Research Center headquartered at Purdue. CISTAR's  vision is to convert natural gas liquids, for example, ethane and propane, to fuels and chemicals by two catalytic steps.  The first requires dehydrogenation of alkanes to olefins, which are subsequently converted to final products.  This project investigates a new class of catalyst for conversion of ethylene and propylene to higher molecular weight hydrocarbons suitable for blending into gasoline or diesel fuels.  These reactions occur at high temperature and pressure in a fixed bed reactor.  The research plan is to synthesize catalysts and test these to determine the rates, selectivity and stability. Students working on this project will also have the opportunity to participate in information sessions, tours and informal mentoring with CISTAR's partner companies. Purdue students are not eligible for this project. Students must be from outside institutions. Participants must be US Citizens. Students with disabilities, veterans, and those from traditionally underrepresented groups in STEM are encouraged to apply.",West Lafayette,Chemical Catalysis and Synthesis,U.S. Citizen,Chemical Engineering Chemistry,Chemical Engineering,Jeff Miller,https://cistar.us/
CISTAR - Synthesis of tailored carbon supports for non-oxidative methane conversion,"This project is supported by CISTAR, an NSF Engineering Research Center headquartered at Purdue. Methane is the major component of shale gas, and more research is needed to develop non-oxidative conversion routes to higher olefins and aromatics. Carbon-based catalysts have been shown to be effective at non-oxidative methane conversion to these products, but the active sites and reaction mechanisms remain unclear. This project will work on developing synthesis methods to alter the surface areas and active sites in porous carbon materials for methane conversion, and studying their catalytic reactivity and selectivity. Students working on this project will also have the opportunity to participate in information sessions, tours and informal mentoring with CISTAR's partner companies. Purdue students are not eligible for this project. Students must be from outside institutions. Participants must be US Citizens. Students with disabilities, veterans, and those from traditionally underrepresented groups in STEM are encouraged to apply.",West Lafayette,Chemical Catalysis and Synthesis,U.S. Citizen,Chemical Engineering Chemistry,Davidson School of Chemical Engineering,Rajamani Gounder,https://cistar.us/
CISTAR - Synthesis of zeolite catalysts with tailored diffusion properties,"This project is supported by CISTAR, an NSF Engineering Research Center headquartered at Purdue. Olefin oligomerization is a key step in shale gas upgrading routes to heavier molecular weight products. Acidic zeolites are an important class of materials to catalyze oligomerization reactions, but reaction rates and selectivities are influenced by coupled reaction-transport phenomena. This project will focus on synthesizing zeolite crystallites with tailored diffusion properties (e.g., crystal size and morphology, acid site distributions) to influence the rates and selectivities of olefin oligomerization. Students working on this project will also have the opportunity to participate in information sessions, tours and informal mentoring with CISTAR's partner companies. Purdue students are not eligible for this project. Students must be from outside institutions. Participants must be US Citizens. Students with disabilities, veterans, and those from traditionally underrepresented groups in STEM are encouraged to apply.",West Lafayette,Chemical Catalysis and Synthesis,U.S. Citizen,Chemical Engineering Chemistry,Davidson School of Chemical Engineering,Rajamani Gounder,https://cistar.us/
Cellulose Cement Composite (C3) for Carbon Negative Construction,"C3, a cellulose cement composite, is being developed for use in residential and light commercial construction as an alternative to dimensional lumber and sheet products (e.g., plywood/drywall). C3 consists of cellulose excelsior (CE), a wood fiber materials, and low-carbon cement binders. C3 will serve as a sink of carbon dioxide from the atmosphere because of its carbonatable cementitious content. C3 will be durable and resistant to rot and fungal growth, be fire resistant, have thermal resistance (R-values) that limit thermal bridging, and be quickly implemented due to compatibility with current construction processes.  This project will involve research to understand and further develop CE-binder interactions by chemical modification of the interface, characterization and mechanical testing.",West Lafayette,"Composite Materials and Alloys, Ecology and Sustainability, Engineering the Built Environment, Material Processing and Characterization",No citizenship requirements,Materials Engineering Civil Engineering Chemical Engineering Mechanical Engineering Chemistry,School of Materials Engineering,Jeffrey Youngblood,N/A
Characterization of Surface Shear Stress in Pulsatile Flows,"The SURF student will join a research team with Purdue professors and graduate students to study the evolution of surface shear stress at different phases in a cycle of pulsatile flows. He/she will work on setting up the experiment (test rig, lasers, cameras, controls), take data, and analyze the data. The project will bring in a new understanding of cardiovascular flows and serve as a good opportunity for the student to understand the advanced flow diagnostics technologies.",West Lafayette,Fluid Modelling and Simulation,No citizenship requirements,Mechanical Engineering Aeronautical and Astronautical Engineering,School of Mechanical Engineering,Jun Chen,N/A
Characterizing Infant Exposure to Chemical Contaminants in Indoor Dust,"Our project is funded by the U.S. Environmental Protection Agency (EPA) and involves an interdisciplinary collaboration between engineers, chemists, and psychologists at Purdue University and New York University (NYU). We will elucidate determinants of indoor dust ingestion in 6- to 24-month-old infants (age range for major postural and locomotor milestones). Specific objectives are to test: (1) whether the frequency and characteristics of indoor dust and non-dust mouthing events change with age and motor development stage for different micro-environments; (2) how home characteristics and demographic factors affect indoor dust mass loading and dust toxicant concentration; (3) how dust transfer between surfaces is influenced by dust properties, surface features, and contact dynamics; and (4) contributions of developmental, behavioral, and socio-environmental factors to dust and toxicant-resolved dust ingestion rates. In addition, the project will (5) create a shared corpus of video, dust, toxicant, and ingestion rate data to increase scientific transparency and speed progress through data reuse by the broader exposure science community. Our transdisciplinary work will involve: (1) parent report questionnaires and detailed video coding of home observations of infant mouthing and hand-to-floor/object behaviors; (2) physical and chemical analyses of indoor dust collected through home visits and a citizen-science campaign; (3) surface-to-surface dust transfer experiments with a robotic platform; (4) dust mass balance modeling to determine distributions in and determinants of dust and toxicant-resolved dust ingestion rates; and (5) open sharing of curated research videos and processed data in the Databrary digital library and a public website with geographic and behavioral information for participating families. The project will provide improved estimates of indoor dust ingestion rates in pre-sitting to independently walking infants and characterize inter-individual variability based on infant age, developmental stage, home environment, and parent behaviors. Dust transport experiments and modeling will provide new mechanistic insights into the factors that affect the migration of dust from the floor to mouthed objects to an infant?? mouth. The shared corpus will enable data reuse to inform future research on how dust ingestion contributes to infants??total exposure to environmental toxicants. U.S. EPA project overview: https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.abstractDetail/abstract_id/11194",West Lafayette,"Energy and Environment, Environmental Characterization",No citizenship requirements,No Major Restriction,Lyles School of Civil Engineering,Brandon Boor,N/A
Comparative neurotoxicity of PFAS chemicals,"We wukk elucidate sub-cellular compartment homeostasis that is disrupted by developmental PFAS exposure, including PFOA, PFBA, and GenX, that collectively contribute to neurotoxicity later in life by increasing cellular vulnerability to established neuro-risk factors associated with neurodegeneration. We will use derived human dopaminergic neuronal cells to compare the neurotoxicity of selected PFAS and identify key pathogenic pathways driving the neurodegeneration. Participating students will learn to differentiate dopaminergic neurons from hiPSC, perform biological characterizations and functional assessments.",West Lafayette,"Big Data/Machine Learning, Biological Characterization and Imaging, Cellular Biology, Genetics",No citizenship requirements,No Major Restriction,Davidson School of Chemical Engineering,Chongli Yuan,https://cyuangroup.com/
DNA Tetrahedra Cellular Uptake for In Vitro Drug Delivery Study,"One of the challenges posed by miRNA delivery is transfusing the oligos into the cells. Nanomaterials have been proven to decorate cells efficiently via DNA and protein aptamers, increasing the local drug concentration at the cellular membrane. A novel method of delivering miRNA via DNA-cholesterol anchoring improved the delivery efficiency in vitro in HeLa and HAT pathogenic cells. Recently, we have designed multiple DNA tetrahedra for miRNA drug delivery and would like to see if cationic lipids or polymers would change the cellular uptake mechanism or dynamics. In essense, the student would decorate the DNA tetrahedra with cationic lipids or polymers and characterize the uptake of the structures and / or miRNA into the cells. Simultaneously, we hope that the student can work with the mentor to explain the uptake mechanisms qualitatively. The student will be trained in tissue cell culturing and confocal microscopy.",West Lafayette,"Medical Science and Technology, Nanotechnology",No citizenship requirements,Biology Biochemistry Chemistry Biomedical Engineering Biological Engineering - multiple concentrations Agricultural Engineering Cell Molecular and Developmental Biology Chemical Engineering,Weldon School of Biomedical Engineering,Tamara Kinzer-Ursem,N/A
Data Pipeline Engineering and Integration with models,"Digital Agriculture, at its best, builds upon decades of discipline research with some integration of new IoT sensors and communication pathways as well as public resource data such as weather, soil, and topography. One challenge to be addressed is to more fully document the backstory or fuller context of situations so that artificial intelligence and machine learning can be more complete and robust. Another is the integration of mechanistic (descriptive of the fundamental science) models that might be biological, physical, chemical, logistical, economic, etc. in origin. The better parameterization of these models and even auto-population of initial conditions can stem from data sets and data streams. In this project, the student will assist in the work to ??erve up/present??and curate as much data as we possibly can for part of the cropping system testbed. This data will then meld with biophysical model(s). It will require interoperability focus and that involves wise choices of data architecture and an integration with data pipelines (often based on open source tools). The end game is to provide better insight (including probabilities, when applicable) for tactical and strategic cropping decisions while preserving security and privacy.",West Lafayette,"Big Data/Machine Learning, Biological Simulation and Technology, Internet of Things (IoT), IoT for Precision Agriculture",U.S. Citizen,N/A,Department of Agricultural and Biological Engineering,Dennis Buckmaster,https://iot4ag.us
Data Pipeline Engineering and Integration with models,"Digital Agriculture, at its best, builds upon decades of discipline research with some integration of new IoT sensors and communication pathways as well as public resource data such as weather, soil, and topography. One challenge to be addressed is to more fully document the backstory or fuller context of situations so that artificial intelligence and machine learning can be more complete and robust. Another is the integration of mechanistic (descriptive of the fundamental science) models that might be biological, physical, chemical, logistical, economic, etc. in origin. The better parameterization of these models and even auto-population of initial conditions can stem from data sets and data streams. In this project, the student will assist in the work to ??erve up/present??and curate as much data as we possibly can for part of the cropping system testbed. This data will then meld with biophysical model(s). It will require interoperability focus and that involves wise choices of data architecture and an integration with data pipelines (often based on open source tools). The end game is to provide better insight (including probabilities, when applicable) for tactical and strategic cropping decisions while preserving security and privacy.",West Lafayette,"Big Data/Machine Learning, Biological Simulation and Technology, Internet of Things (IoT), IoT for Precision Agriculture",U.S. Citizen,No Major Restriction,Department of Agricultural and Biological Engineering,Dennis Buckmaster,https://iot4ag.us
Degradable hydrogels for tissue engineering,"Hydrogels are a class of soft, hydrated, and elastic materials made up of hydrophilic polymer chains that can retain large amounts of water or biological fluids. Biodegradable biomaterials have numerous applications in biomedical engineering, such as in tissue regeneration and drug delivery. Hydrogel polymers can be designed with various chemistries to achieve variable modes and rates of degradation. Degradable hydrogels allow them to mimic the conditions cells are exposed to in its natural tissue. Non-degradable hydrogels can hinder tissue regeneration by restricting cell infiltration and proliferation into the polymer matrix. The need for controlled changes in mechanical properties of hydrogels over time, and controlled release of encapsulated molecules for drug release, further highlights the need for such biodegradable materials. In this project, the SURF student will fabricate and characterize hydrolytically degradable hydrogels by using existing and new approaches for the chemical modification of hyaluronic acid biopolymer. The student will be trained in techniques related to hyaluronic acid synthesis, fabrication, processing, characterization, and application in cell culture. The SURF student will gain hands-on experience with various instruments and approaches used in the lab, including microscopy, microfluidics, quantitative analysis, and mechanical characterization of the biomaterials.",West Lafayette,"Biological Characterization and Imaging, Biological Simulation and Technology, Cellular Biology, Material Processing and Characterization, Medical Science and Technology","No citizenship requirements, U.S. Citizen, U.S. Permanent Resident",Biological Engineering - multiple concentrations Biomedical Engineering,Weldon School of Biomedical Engineering,Taimoor Qazi,N/A
Design of a Mobile Robot Deployment System,"The goal of this project is to design and prototype and mobile robot deployment system for transporting a team of agricultural robots to a field of interest.  It must also house a charging station for the robots and serve as a communication base station for the team. The platform must be designed to be integrated with an autonomous Polaris Ranger utility task vehicle (UTV).  The fleet of robots must be secure when being transported to the field of interest and then be automatically deployed once there.  This project will require the mechanical design of the deployment system, mechatronic system design for the charging station and communication system, and integration and interfacing with the Polaris Ranger UTV.  Field tests will be conducted at the Purdue University Agronomy Center for Research and Education (ACRE) facility.",West Lafayette,"Fabrication and Robotics, IoT for Precision Agriculture",U.S. Citizen,Mechanical Engineering Electrical Engineering Computer Engineering,School of Mechanical Engineering,David Cappelleri,https://iot4ag.us/
Design of an IoT4Ag Robotic Sensor Deployment System,"The goal of this project is to design an IoT4Ag sensor deployment system for autonomous agricultural ground robots.  The IoT sensors need to be spread about the field and are required to be inserted into the soil at a depth of approximately 6??deep.  Thus, the developed sensor deployment system should be able to 1. Store the sensors that need to be deployed; 2. Distribute sensors at a designated spacing above the soil; and 3. Insert the sensors into the ground at a designated spacing in the soil; and 4. Bury the deployed sensor in the soil.  This project will require the mechanical design of the deployment systems, mechatronic system design for operating and controlling the systems, and integration and interfacing with the agricultural ground robot for execution and tracking of sensor deployment locations.  Field tests will be conducted at the Purdue University Agronomy Center for Research and Education (ACRE) facility.",West Lafayette,"Fabrication and Robotics, IoT for Precision Agriculture",U.S. Citizen,Mechanical Engineering Electrical Engineering Computer Engineering,School of Mechanical Engineering,David Cappelleri,https://iot4ag.us/
"Design, build and flight testing of avian-inspired unmanned aerial vehicles","The objective of this project is to design, test, build, and fly prototype bird-like morphable, flapping-wing unmanned air vehicles. In particular, the objective is to create vehicles that mimic the flying characteristics of medium-sized birds (e.g., the Peregrine falcons). A goal of this project is to demonstrate controlled gliding and powered flights. The undergraduate students will perform conceptual design of the vehicles using CAD. Wind tunnel models will be created in the AAE build lab in ARMS and tested in the Boeing subsonic wind tunnel at the Aerospace Sciences Laboratory. Flight test models will be created in the AAE build lab and tested in-doors in PURT or similar.",West Lafayette,Other,No citizenship requirements,Aeronautical and Astronautical Engineering Mechanical Engineering,School of Aeronautics and Astronautics,Leifur Leifsson,N/A
Designing cognitively-aware intelligent tutoring systems with generative AI,We are looking for an undergraduate researcher to support development of a cognitively aware intelligent tutoring system for a psychomotor task. The task itself is learning how to land a quadrotor manually in a 2D quadrotor simulator module. The student will gain experience in the following areas: - Sensor fusion - Classification algorithms for human behavior - System identification of human cognitive behavior models - Synthesizing optimal control policies or algorithms that assist humans by responding to human behavior - Improving generated formative feedback to assist in human learning,West Lafayette,"Big Data/Machine Learning, Human Factors, Other",No citizenship requirements,Computer Science Mechanical Engineering Aeronautical and Astronautical Engineering Industrial Engineering Electrical Engineering,School of Mechanical Engineering,Neera Jain,https://engineering.purdue.edu/JainResearchLab/
"Development of Biomimetic, Sustainably Sourced, High Performance Materials","The oceans are home to a diverse collection of animals producing intriguing materials.  Mussels, barnacles, oysters, starfish, and kelp are examples of the organisms generating adhesive matrices for affixing themselves to the sea floor.  Our laboratory is characterizing these biological materials, designing mimics, and developing applications.  Mimics of these bioadhesives begin with the chemistry learned from characterization studies and incorporate the findings into new materials that can be produced on larger scales.  A recent emphasis is sustainability.  We are making new classes of sustainably sourced materials that are of high performance, low cost, and even can be carbon negative.  Future efforts are planned in areas including:  A) Using bulk proteins and inorganics to make mimics of the wet bonding cement from oysters and B) Using biobased and biomimetic adhesives for the basis of new plastic materials, such as systems like carbon fiber reinforced polymers, with all components sourced sustainably.",West Lafayette,"Advanced Packaging, Composite Materials and Alloys, Ecology and Sustainability, Material Processing and Characterization",No citizenship requirements,No Major Restriction,Chemistry,Jonathan Wilker,https://www.chem.purdue.edu/wilker/
